index,Series,Vol,OI,TrdDate,VolTemp,OITemp
678,TPIPL,1006,28903,2021-07-19,,
684,TPIPP,0,6660,2021-07-19,,
690,TQM,20,825,2021-07-19,,
696,TRUE,1011,41026,2021-07-19,,
702,TTA,673,26713,2021-07-19,,
708,TTB,2733,245713,2021-07-19,,
714,TTCL,0,3531,2021-07-19,,
720,TTW,0,4604,2021-07-19,,
726,TU,203,5564,2021-07-19,,
732,TVO,0,756,2021-07-19,,
738,UNIQ,0,10643,2021-07-19,,
744,VGI,6,20338,2021-07-19,,
750,VNG,11,2885,2021-07-19,,
756,VNT,0,2046,2021-07-19,,
762,WHA,27,38001,2021-07-19,,
768,WHAUP,2,2279,2021-07-19,,
769,Single Stock,56982,2667994,2021-07-19,,
6,AAV,764,8836,2021-07-21,764,8836
12,ADVANC,946,6932,2021-07-21,946,6932
18,AEONTS,21,698,2021-07-21,21,698
24,AMATA,500,11731,2021-07-21,500,11731
30,AOT,1813,3565,2021-07-21,1813,3565
36,AP,6307,21368,2021-07-21,6307,21368
42,AWC,505,12231,2021-07-21,505,12231
48,BA,1039,4371,2021-07-21,1039,4371
54,BAM,16,7924,2021-07-21,16,7924
60,BANPU,8379,44231,2021-07-21,8379,44231
66,BAY,214,1452,2021-07-21,214,1452
72,BBL,315,9862,2021-07-21,315,9862
78,BCH,407,9666,2021-07-21,407,9666
84,BCP,102,3667,2021-07-21,102,3667
90,BCPG,708,10383,2021-07-21,708,10383
96,BDMS,1727,10076,2021-07-21,1727,10076
102,BEAUTY,0,67085,2021-07-21,0,67085
108,BEC,1526,26757,2021-07-21,1526,26757
114,BEM,1005,36384,2021-07-21,1005,36384
120,BGRIM,108,12981,2021-07-21,108,12981
126,BH,64,1038,2021-07-21,64,1038
132,BJC,227,5275,2021-07-21,227,5275
138,BLA,0,1368,2021-07-21,0,1368
144,BLAND,733,259585,2021-07-21,733,259585
150,BPP,620,5572,2021-07-21,620,5572
156,BTS,3913,44298,2021-07-21,3913,44298
162,CBG,749,16495,2021-07-21,749,16495
168,CENTEL,501,1674,2021-07-21,501,1674
174,CHG,10247,40965,2021-07-21,10247,40965
180,CK,828,12567,2021-07-21,828,12567
186,CKP,2412,12549,2021-07-21,2412,12549
192,COM7,903,5684,2021-07-21,903,5684
198,CPALL,213,5069,2021-07-21,213,5069
204,CPF,122,37234,2021-07-21,122,37234
210,CPN,243,1975,2021-07-21,243,1975
216,CRC,12,1380,2021-07-21,12,1380
222,DELTA,24,453,2021-07-21,24,453
228,DTAC,566,6475,2021-07-21,566,6475
234,EA,19,5096,2021-07-21,19,5096
240,EASTW,0,10901,2021-07-21,0,10901
246,EGCO,124,2244,2021-07-21,124,2244
252,EPG,1502,16771,2021-07-21,1502,16771
258,ERW,500,6033,2021-07-21,500,6033
264,ESSO,501,7600,2021-07-21,501,7600
270,GFPT,1118,11614,2021-07-21,1118,11614
276,GLOBAL,1618,7780,2021-07-21,1618,7780
282,GPSC,1914,6468,2021-07-21,1914,6468
288,GULF,100,4262,2021-07-21,100,4262
294,GUNKUL,8285,168003,2021-07-21,8285,168003
300,HANA,32,2257,2021-07-21,32,2257
306,HMPRO,300,6611,2021-07-21,300,6611
312,ICHI,1541,17587,2021-07-21,1541,17587
318,INTUCH,0,337,2021-07-21,0,337
324,IRPC,5839,90390,2021-07-21,5839,90390
330,ITD,305,33202,2021-07-21,305,33202
336,IVL,1046,8029,2021-07-21,1046,8029
342,JAS,4744,57093,2021-07-21,4744,57093
348,JMT,542,3046,2021-07-21,542,3046
354,KBANK,2737,12760,2021-07-21,2737,12760
360,KCE,1553,4673,2021-07-21,1553,4673
366,KEX,0,926,2021-07-21,0,926
372,KKP,270,1688,2021-07-21,270,1688
378,KTB,1879,23494,2021-07-21,1879,23494
384,KTC,209,47948,2021-07-21,209,47948
390,LH,1000,7108,2021-07-21,1000,7108
396,LPN,507,8746,2021-07-21,507,8746
402,M,139,2824,2021-07-21,139,2824
408,MAJOR,101,7567,2021-07-21,101,7567
414,MBK,0,6176,2021-07-21,0,6176
420,MEGA,323,340,2021-07-21,323,340
426,MINT,1446,5926,2021-07-21,1446,5926
432,MTC,165,3381,2021-07-21,165,3381
438,OR,0,7144,2021-07-21,0,7144
444,ORI,2,22567,2021-07-21,2,22567
450,OSP,0,3891,2021-07-21,0,3891
456,PLANB,19,17557,2021-07-21,19,17557
462,PRM,10,32114,2021-07-21,10,32114
468,PSH,1,1574,2021-07-21,1,1574
474,PSL,1109,11549,2021-07-21,1109,11549
480,PTG,606,15532,2021-07-21,606,15532
486,PTT,673,13043,2021-07-21,673,13043
492,PTTEP,317,1563,2021-07-21,317,1563
498,PTTGC,425,14074,2021-07-21,425,14074
504,QH,1510,22967,2021-07-21,1510,22967
510,RATCH,52,3838,2021-07-21,52,3838
516,RS,604,87608,2021-07-21,604,87608
522,S,0,36210,2021-07-21,0,36210
528,SAMART,34,8747,2021-07-21,34,8747
534,SAWAD,515,7626,2021-07-21,515,7626
540,SCB,2593,3140,2021-07-21,2593,3140
546,SCC,1043,3440,2021-07-21,1043,3440
552,SCGP,1014,9864,2021-07-21,1014,9864
558,SGP,0,3061,2021-07-21,0,3061
564,SIRI,4424,153907,2021-07-21,4424,153907
570,SPALI,302,695,2021-07-21,302,695
576,SPCG,0,8339,2021-07-21,0,8339
582,SPRC,500,7088,2021-07-21,500,7088
588,STA,1951,14006,2021-07-21,1951,14006
594,STEC,129,15018,2021-07-21,129,15018
600,STGT,1438,6968,2021-07-21,1438,6968
606,STPI,2000,17690,2021-07-21,2000,17690
612,SUPER,10000,251608,2021-07-21,10000,251608
618,TASCO,1145,8285,2021-07-21,1145,8285
624,TCAP,0,1282,2021-07-21,0,1282
630,THAI,0,18,2021-07-21,0,18
636,THANI,0,5552,2021-07-21,0,5552
642,THCOM,4,15174,2021-07-21,4,15174
648,THG,305,36,2021-07-21,305,36
654,TISCO,41,941,2021-07-21,41,941
660,TKN,37,10028,2021-07-21,37,10028
666,TOA,1094,2066,2021-07-21,1094,2066
672,TOP,249,5458,2021-07-21,249,5458
678,TPIPL,2,28903,2021-07-21,2,28903
684,TPIPP,500,6660,2021-07-21,500,6660
690,TQM,30,845,2021-07-21,30,845
696,TRUE,61,40538,2021-07-21,61,40538
702,TTA,1097,24193,2021-07-21,1097,24193
708,TTB,6935,249425,2021-07-21,6935,249425
714,TTCL,5,3531,2021-07-21,5,3531
720,TTW,0,4604,2021-07-21,0,4604
726,TU,706,6150,2021-07-21,706,6150
732,TVO,0,757,2021-07-21,0,757
738,UNIQ,2,10155,2021-07-21,2,10155
744,VGI,2046,22362,2021-07-21,2046,22362
750,VNG,1,2914,2021-07-21,1,2914
756,VNT,0,2052,2021-07-21,0,2052
762,WHA,537,41191,2021-07-21,537,41191
768,WHAUP,600,2753,2021-07-21,600,2753
769,Single Stock,135806,2667038,2021-07-21,135806,2667038
6,AAV,89,9369,2021-07-22,89,9369
12,ADVANC,405,6546,2021-07-22,405,6546
18,AEONTS,0,678,2021-07-22,0,678
24,AMATA,2317,11231,2021-07-22,2317,11231
30,AOT,448,3396,2021-07-22,448,3396
36,AP,1513,23675,2021-07-22,1513,23675
42,AWC,2086,11735,2021-07-22,2086,11735
48,BA,24,3380,2021-07-22,24,3380
54,BAM,526,7940,2021-07-22,526,7940
60,BANPU,76,44195,2021-07-22,76,44195
66,BAY,103,1654,2021-07-22,103,1654
72,BBL,508,9932,2021-07-22,508,9932
78,BCH,835,9756,2021-07-22,835,9756
84,BCP,406,3567,2021-07-22,406,3567
90,BCPG,3818,11090,2021-07-22,3818,11090
96,BDMS,1812,10172,2021-07-22,1812,10172
102,BEAUTY,500,67085,2021-07-22,500,67085
108,BEC,4518,27249,2021-07-22,4518,27249
114,BEM,2,36888,2021-07-22,2,36888
120,BGRIM,1311,13081,2021-07-22,1311,13081
126,BH,11,977,2021-07-22,11,977
132,BJC,21,5083,2021-07-22,21,5083
138,BLA,202,1368,2021-07-22,202,1368
144,BLAND,2209,259217,2021-07-22,2209,259217
150,BPP,300,5586,2021-07-22,300,5586
156,BTS,2127,42303,2021-07-22,2127,42303
162,CBG,193,16073,2021-07-22,193,16073
168,CENTEL,202,1974,2021-07-22,202,1974
174,CHG,6174,44990,2021-07-22,6174,44990
180,CK,111,11777,2021-07-22,111,11777
186,CKP,2210,12394,2021-07-22,2210,12394
192,COM7,607,6584,2021-07-22,607,6584
198,CPALL,199,5006,2021-07-22,199,5006
204,CPF,2275,37139,2021-07-22,2275,37139
210,CPN,80,1997,2021-07-22,80,1997
216,CRC,0,1386,2021-07-22,0,1386
222,DELTA,129,458,2021-07-22,129,458
228,DTAC,662,6254,2021-07-22,662,6254
234,EA,136,5094,2021-07-22,136,5094
240,EASTW,0,10901,2021-07-22,0,10901
246,EGCO,38,2268,2021-07-22,38,2268
252,EPG,1032,15272,2021-07-22,1032,15272
258,ERW,500,6533,2021-07-22,500,6533
264,ESSO,0,8101,2021-07-22,0,8101
270,GFPT,1776,11718,2021-07-22,1776,11718
276,GLOBAL,1433,7563,2021-07-22,1433,7563
282,GPSC,792,6249,2021-07-22,792,6249
288,GULF,101,4162,2021-07-22,101,4162
294,GUNKUL,7674,166051,2021-07-22,7674,166051
300,HANA,1344,2272,2021-07-22,1344,2272
306,HMPRO,600,6711,2021-07-22,600,6711
312,ICHI,2505,16073,2021-07-22,2505,16073
318,INTUCH,0,337,2021-07-22,0,337
324,IRPC,2199,90563,2021-07-22,2199,90563
330,ITD,1664,33192,2021-07-22,1664,33192
336,IVL,834,8196,2021-07-22,834,8196
