index,Series,Vol,OI,TrdDate,Avg5,Avg10
126,BLA,100,239,2020-11-18,,
132,BLAND,3,354190,2020-11-18,,
138,BPP,511,3195,2020-11-18,,
144,BTS,4392,45188,2020-11-18,,
150,CBG,2320,15634,2020-11-18,,
156,CENTEL,697,2934,2020-11-18,,
162,CHG,506,5235,2020-11-18,,
168,CK,202,3253,2020-11-18,,
174,CKP,2414,4673,2020-11-18,,
180,COM7,254,5369,2020-11-18,,
186,CPALL,808,9496,2020-11-18,,
192,CPF,2478,21186,2020-11-18,,
198,CPN,917,1255,2020-11-18,,
204,DELTA,42,1016,2020-11-18,,
210,DTAC,1277,2940,2020-11-18,,
216,EA,509,6530,2020-11-18,,
222,EASTW,200,600,2020-11-18,,
228,EGCO,346,1172,2020-11-18,,
234,EPG,1511,5222,2020-11-18,,
240,ERW,3539,7696,2020-11-18,,
246,ESSO,1018,4800,2020-11-18,,
252,GFPT,100,3785,2020-11-18,,
258,GLOBAL,1316,5921,2020-11-18,,
264,GPSC,1668,4129,2020-11-18,,
270,GULF,1106,13704,2020-11-18,,
276,GUNKUL,1500,33037,2020-11-18,,
282,HANA,539,937,2020-11-18,,
288,HMPRO,501,2167,2020-11-18,,
294,ICHI,3560,15771,2020-11-18,,
300,INTUCH,104,2585,2020-11-18,,
306,IRPC,8390,34408,2020-11-18,,
312,ITD,6,2245,2020-11-18,,
318,IVL,1345,5121,2020-11-18,,
324,JAS,3505,44982,2020-11-18,,
330,JMT,500,2504,2020-11-18,,
336,KBANK,1892,4996,2020-11-18,,
342,KCE,529,1874,2020-11-18,,
348,KKP,272,2520,2020-11-18,,
354,KTB,1403,18672,2020-11-18,,
360,KTC,404,42575,2020-11-18,,
366,LH,355,6048,2020-11-18,,
372,LPN,5,15286,2020-11-18,,
378,M,60,82,2020-11-18,,
384,MAJOR,100,3270,2020-11-18,,
390,MBK,202,1718,2020-11-18,,
396,MEGA,12,74,2020-11-18,,
402,MINT,5822,25474,2020-11-18,,
408,MTC,1117,2374,2020-11-18,,
414,ORI,0,6253,2020-11-18,,
420,OSP,1212,3770,2020-11-18,,
426,PLANB,0,6604,2020-11-18,,
432,PRM,1507,21182,2020-11-18,,
438,PSH,3330,915,2020-11-18,,
444,PSL,3526,8230,2020-11-18,,
450,PTG,121,6436,2020-11-18,,
456,PTT,2329,41938,2020-11-18,,
462,PTTEP,59,640,2020-11-18,,
468,PTTGC,1847,3841,2020-11-18,,
474,QH,0,18397,2020-11-18,,
480,RATCH,45,790,2020-11-18,,
483,ROBINS,0,321,2020-11-18,,
489,RS,2270,65917,2020-11-18,,
495,S,0,12002,2020-11-18,,
501,SAMART,0,8253,2020-11-18,,
507,SAWAD,1864,4741,2020-11-18,,
513,SCB,246,6343,2020-11-18,,
519,SCC,193,1056,2020-11-18,,
525,SGP,500,1500,2020-11-18,,
531,SIRI,10123,35430,2020-11-18,,
537,SPALI,300,844,2020-11-18,,
543,SPCG,320,7694,2020-11-18,,
549,SPRC,1500,12087,2020-11-18,,
555,STA,595,7490,2020-11-18,,
561,STEC,6,4010,2020-11-18,,
567,STPI,10,2651,2020-11-18,,
573,SUPER,6043,182959,2020-11-18,,
579,TASCO,563,5825,2020-11-18,,
585,TCAP,122,1925,2020-11-18,,
591,THAI,4,608,2020-11-18,,
597,THANI,505,12005,2020-11-18,,
603,THCOM,1,9069,2020-11-18,,
609,THG,0,0,2020-11-18,,
615,TISCO,200,1106,2020-11-18,,
621,TKN,1505,52828,2020-11-18,,
627,TMB,3104,40510,2020-11-18,,
633,TOA,0,1502,2020-11-18,,
639,TOP,331,1598,2020-11-18,,
645,TPIPL,4,1916,2020-11-18,,
651,TPIPP,5035,5101,2020-11-18,,
657,TQM,21,435,2020-11-18,,
663,TRUE,2339,55763,2020-11-18,,
669,TTA,5,1585,2020-11-18,,
675,TTCL,1000,10239,2020-11-18,,
681,TTW,100,2119,2020-11-18,,
687,TU,1016,6362,2020-11-18,,
693,TVO,0,117,2020-11-18,,
699,UNIQ,0,179,2020-11-18,,
705,VGI,10563,25966,2020-11-18,,
711,VNG,0,17514,2020-11-18,,
717,VNT,14,1889,2020-11-18,,
723,WHA,13358,87434,2020-11-18,,
729,WHAUP,0,1202,2020-11-18,,
730,Single Stock,151991,1776840,2020-11-18,,
6,AAV,3685,10597,2020-11-19,,
12,ADVANC,1557,4174,2020-11-19,,
18,AEONTS,187,545,2020-11-19,,
24,AMATA,1323,2244,2020-11-19,,
30,AOT,1020,9898,2020-11-19,,
36,AP,0,1144,2020-11-19,,
42,BA,502,1258,2020-11-19,,
48,BANPU,3417,36079,2020-11-19,,
54,BAY,0,137,2020-11-19,,
60,BBL,474,1609,2020-11-19,,
66,BCH,200,4021,2020-11-19,,
72,BCP,517,1774,2020-11-19,,
78,BCPG,544,5810,2020-11-19,,
84,BDMS,1642,9685,2020-11-19,,
90,BEAUTY,3130,22998,2020-11-19,,
96,BEC,536,39217,2020-11-19,,
102,BEM,574,11846,2020-11-19,,
108,BGRIM,411,2892,2020-11-19,,
114,BH,343,1101,2020-11-19,,
120,BJC,24,939,2020-11-19,,
126,BLA,100,139,2020-11-19,,
132,BLAND,14,354204,2020-11-19,,
138,BPP,800,2995,2020-11-19,,
144,BTS,3215,47592,2020-11-19,,
150,CBG,1869,16082,2020-11-19,,
156,CENTEL,202,2933,2020-11-19,,
162,CHG,0,5235,2020-11-19,,
168,CK,0,3253,2020-11-19,,
174,CKP,1906,3927,2020-11-19,,
180,COM7,4,5372,2020-11-19,,
186,CPALL,1048,9608,2020-11-19,,
192,CPF,5163,23132,2020-11-19,,
198,CPN,614,1103,2020-11-19,,
204,DELTA,123,1075,2020-11-19,,
210,DTAC,1116,2698,2020-11-19,,
216,EA,1329,6849,2020-11-19,,
222,EASTW,200,800,2020-11-19,,
228,EGCO,472,1618,2020-11-19,,
234,EPG,1507,4727,2020-11-19,,
240,ERW,4501,5695,2020-11-19,,
246,ESSO,2105,5900,2020-11-19,,
252,GFPT,0,3785,2020-11-19,,
258,GLOBAL,800,6121,2020-11-19,,
264,GPSC,1281,4514,2020-11-19,,
270,GULF,2414,15633,2020-11-19,,
276,GUNKUL,2098,32105,2020-11-19,,
282,HANA,308,1230,2020-11-19,,
288,HMPRO,700,2267,2020-11-19,,
294,ICHI,2855,17089,2020-11-19,,
300,INTUCH,265,2570,2020-11-19,,
306,IRPC,28338,33677,2020-11-19,,
312,ITD,509,2747,2020-11-19,,
318,IVL,1700,5327,2020-11-19,,
324,JAS,4071,45029,2020-11-19,,
330,JMT,726,3005,2020-11-19,,
336,KBANK,2317,5619,2020-11-19,,
342,KCE,248,1885,2020-11-19,,
348,KKP,275,2372,2020-11-19,,
354,KTB,3189,17231,2020-11-19,,
360,KTC,215,42374,2020-11-19,,
366,LH,101,5947,2020-11-19,,
372,LPN,3006,12286,2020-11-19,,
378,M,20,62,2020-11-19,,
384,MAJOR,200,3270,2020-11-19,,
390,MBK,701,2218,2020-11-19,,
396,MEGA,127,192,2020-11-19,,
402,MINT,2783,26375,2020-11-19,,
408,MTC,237,2356,2020-11-19,,
414,ORI,1054,6273,2020-11-19,,
420,OSP,412,3765,2020-11-19,,
426,PLANB,1000,6604,2020-11-19,,
432,PRM,7,21187,2020-11-19,,
438,PSH,29,944,2020-11-19,,
444,PSL,1614,7825,2020-11-19,,
450,PTG,706,6638,2020-11-19,,
456,PTT,1733,42146,2020-11-19,,
462,PTTEP,253,725,2020-11-19,,
468,PTTGC,3730,4740,2020-11-19,,
474,QH,1100,17297,2020-11-19,,
480,RATCH,43,789,2020-11-19,,
483,ROBINS,64,385,2020-11-19,,
489,RS,2370,66336,2020-11-19,,
495,S,0,12002,2020-11-19,,
501,SAMART,7,8260,2020-11-19,,
507,SAWAD,655,4726,2020-11-19,,
513,SCB,446,6337,2020-11-19,,
519,SCC,134,1142,2020-11-19,,
525,SGP,0,1500,2020-11-19,,
531,SIRI,12629,25757,2020-11-19,,
537,SPALI,601,543,2020-11-19,,
543,SPCG,484,7771,2020-11-19,,
549,SPRC,5606,10688,2020-11-19,,
555,STA,807,7553,2020-11-19,,
561,STEC,17,4014,2020-11-19,,
567,STPI,3,2654,2020-11-19,,
573,SUPER,3005,183964,2020-11-19,,
579,TASCO,2029,7410,2020-11-19,,
585,TCAP,152,1960,2020-11-19,,
591,THAI,5,612,2020-11-19,,
597,THANI,3500,14505,2020-11-19,,
603,THCOM,512,9569,2020-11-19,,
609,THG,0,0,2020-11-19,,
615,TISCO,260,966,2020-11-19,,
621,TKN,1011,52832,2020-11-19,,
627,TMB,5465,42506,2020-11-19,,
633,TOA,0,1502,2020-11-19,,
639,TOP,564,1744,2020-11-19,,
645,TPIPL,140,2036,2020-11-19,,
651,TPIPP,1507,5608,2020-11-19,,
657,TQM,21,415,2020-11-19,,
663,TRUE,2532,55683,2020-11-19,,
669,TTA,584,2164,2020-11-19,,
675,TTCL,1005,9739,2020-11-19,,
681,TTW,4,2122,2020-11-19,,
687,TU,906,6261,2020-11-19,,
693,TVO,100,17,2020-11-19,,
699,UNIQ,0,179,2020-11-19,,
705,VGI,7020,22972,2020-11-19,,
711,VNG,0,17514,2020-11-19,,
717,VNT,38,1927,2020-11-19,,
723,WHA,20269,95846,2020-11-19,,
729,WHAUP,533,1726,2020-11-19,,
730,Single Stock,192524,1790571,2020-11-19,,
6,AAV,13462,8529,2020-11-20,,
12,ADVANC,2220,4784,2020-11-20,,
